epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7612.89,0.96794,0.76979,1.11206,0.79301,0.62861,0.70434,0.46972,1.6754,1.59439,1.63264,0.00935741,0.00935741,0.00935741
43,7801.53,0.95639,0.76555,1.10848,0.74264,0.66864,0.74546,0.47812,1.65015,1.43148,1.60672,0.00932642,0.00932642,0.00932642
44,7979.85,0.94731,0.75278,1.10392,0.76993,0.64044,0.70746,0.46993,1.64924,1.59316,1.62958,0.00929476,0.00929476,0.00929476
45,8183.99,0.95269,0.76119,1.10397,0.73752,0.56131,0.7137,0.47125,1.64726,1.57779,1.62259,0.00926242,0.00926242,0.00926242
46,8402.4,0.93204,0.74526,1.096,0.69693,0.64823,0.69205,0.45019,1.60968,1.53299,1.58803,0.00922942,0.00922942,0.00922942
47,8582.11,0.93993,0.74843,1.10149,0.67283,0.65589,0.70962,0.46472,1.61127,1.49931,1.57943,0.00919576,0.00919576,0.00919576
48,8760.76,0.91837,0.73269,1.08709,0.78048,0.63164,0.71889,0.48257,1.59876,1.49546,1.5872,0.00916145,0.00916145,0.00916145
49,8939.56,0.92959,0.73866,1.09006,0.7237,0.58498,0.73414,0.49722,1.57636,1.51687,1.56215,0.00912649,0.00912649,0.00912649
50,9118.11,0.91396,0.73078,1.08349,0.78601,0.64724,0.73812,0.4927,1.59333,1.50873,1.57908,0.00909088,0.00909088,0.00909088
51,9298.45,0.90942,0.71943,1.08065,0.78315,0.63275,0.72488,0.49405,1.58086,1.51375,1.56718,0.00905463,0.00905463,0.00905463
52,9479.47,0.91405,0.72638,1.08339,0.76327,0.65159,0.72351,0.50698,1.5344,1.47128,1.54366,0.00901776,0.00901776,0.00901776
53,9656.4,0.89822,0.72021,1.07652,0.71348,0.67427,0.73084,0.50319,1.53471,1.44068,1.54881,0.00898025,0.00898025,0.00898025
54,9835.15,0.88436,0.70666,1.06973,0.7265,0.66508,0.73222,0.50099,1.52911,1.44972,1.5393,0.00894213,0.00894213,0.00894213
55,10013.9,0.89042,0.7077,1.06871,0.96146,0.61211,0.7431,0.52035,1.51855,1.51911,1.53973,0.00890339,0.00890339,0.00890339
56,10195.5,0.87766,0.70153,1.06361,0.73779,0.60668,0.73256,0.51935,1.51667,1.54143,1.54615,0.00886404,0.00886404,0.00886404
57,10405,0.88015,0.70297,1.06536,0.70626,0.6046,0.73702,0.51102,1.53839,1.48025,1.55234,0.00882409,0.00882409,0.00882409
58,10615.4,0.87971,0.7076,1.06384,0.81197,0.63561,0.74884,0.51495,1.54591,1.40343,1.54774,0.00878354,0.00878354,0.00878354
59,10812.6,0.87998,0.69855,1.06408,0.78582,0.65023,0.74531,0.51588,1.53738,1.41381,1.53505,0.00874241,0.00874241,0.00874241
60,11008.5,0.86508,0.69267,1.05714,0.81483,0.603,0.74525,0.51412,1.54143,1.45008,1.53354,0.00870069,0.00870069,0.00870069
61,11213.1,0.85585,0.68384,1.05395,0.83441,0.60749,0.7476,0.52311,1.51322,1.42831,1.52877,0.00865839,0.00865839,0.00865839
62,11452,0.8556,0.68553,1.05328,0.80175,0.6487,0.74188,0.52481,1.50553,1.4326,1.51553,0.00861553,0.00861553,0.00861553
63,11628.6,0.85213,0.67852,1.05094,0.7931,0.6497,0.7463,0.52939,1.50813,1.44282,1.5145,0.0085721,0.0085721,0.0085721
64,11817.7,0.84914,0.67848,1.05488,0.80171,0.62724,0.74526,0.52491,1.50679,1.42489,1.52014,0.00852812,0.00852812,0.00852812
65,12038.2,0.85086,0.679,1.05051,0.87496,0.60598,0.74293,0.52511,1.48913,1.41427,1.52047,0.00848358,0.00848358,0.00848358
66,12255,0.83486,0.66742,1.04257,0.79913,0.65395,0.75574,0.53228,1.47867,1.41032,1.51495,0.00843851,0.00843851,0.00843851
67,12440.5,0.83919,0.66226,1.04266,0.76999,0.66267,0.74464,0.53069,1.48434,1.42129,1.51408,0.0083929,0.0083929,0.0083929
68,12618.4,0.83235,0.6624,1.04037,0.75622,0.6571,0.73588,0.52859,1.48736,1.42635,1.51828,0.00834676,0.00834676,0.00834676
69,12795.8,0.83469,0.6665,1.03949,0.83284,0.60926,0.73394,0.53529,1.47565,1.44736,1.51139,0.0083001,0.0083001,0.0083001
70,12970.1,0.82681,0.65772,1.03551,0.80739,0.62244,0.74148,0.53861,1.47496,1.40535,1.51131,0.00825293,0.00825293,0.00825293
71,13146,0.82369,0.65988,1.03214,0.7979,0.62212,0.74484,0.54148,1.45609,1.38581,1.50276,0.00820525,0.00820525,0.00820525
72,13322,0.81852,0.65537,1.03188,0.83851,0.62789,0.74633,0.54091,1.44873,1.37476,1.49544,0.00815707,0.00815707,0.00815707
73,13497.7,0.82114,0.65388,1.03157,0.72599,0.66809,0.74334,0.54259,1.43697,1.39486,1.49615,0.00810841,0.00810841,0.00810841
74,13674.1,0.81009,0.64725,1.02895,0.73803,0.6567,0.73771,0.53478,1.44581,1.41413,1.50502,0.00805925,0.00805925,0.00805925
75,13849.5,0.80186,0.64552,1.02555,0.74522,0.65568,0.73473,0.5288,1.44512,1.44572,1.50624,0.00800963,0.00800963,0.00800963
76,14025.9,0.80085,0.64588,1.02096,0.73849,0.65639,0.73736,0.53143,1.45308,1.43914,1.5129,0.00795954,0.00795954,0.00795954
77,14202.1,0.80128,0.63715,1.01951,0.7337,0.65977,0.74047,0.53558,1.45214,1.45439,1.51615,0.00790898,0.00790898,0.00790898
78,14377.5,0.79705,0.63886,1.01718,0.73067,0.65978,0.74078,0.53638,1.44601,1.44725,1.51217,0.00785798,0.00785798,0.00785798
79,14553.1,0.79277,0.63374,1.01747,0.75727,0.66026,0.73732,0.53701,1.43704,1.44463,1.50289,0.00780653,0.00780653,0.00780653
80,14728.9,0.78358,0.63204,1.01403,0.91287,0.61926,0.73654,0.53881,1.43362,1.44826,1.50342,0.00775465,0.00775465,0.00775465
81,14904.5,0.78082,0.62626,1.0109,0.91397,0.61672,0.73754,0.54308,1.43126,1.44678,1.49817,0.00770234,0.00770234,0.00770234
82,15080.2,0.78278,0.62569,1.01323,0.77095,0.6591,0.7382,0.54031,1.42959,1.43523,1.49663,0.00764961,0.00764961,0.00764961
83,15256.7,0.77474,0.62492,1.00947,0.85585,0.62003,0.73853,0.54147,1.42705,1.4405,1.49248,0.00759648,0.00759648,0.00759648
