epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.21,0.78809,0.6423,1.01906,0.84051,0.85959,0.89131,0.69783,0.58065,0.53556,0.86673,0.0668975,0.000166344,0.000166344
2,201.106,0.7784,0.62279,1.02022,0.83136,0.85832,0.88917,0.69894,0.58005,0.51092,0.86474,0.0337272,0.000329409,0.000329409
3,296.83,0.78702,0.6384,1.02692,0.82605,0.85131,0.88053,0.67838,0.60466,0.53386,0.8808,0.000542768,0.000478294,0.000478294
4,391.751,0.78175,0.63713,1.02803,0.82247,0.85578,0.88109,0.69236,0.57036,0.50952,0.86482,0.000452732,0.000452732,0.000452732
5,486.781,0.77154,0.62303,1.01842,0.82634,0.8689,0.88887,0.69571,0.57854,0.50816,0.86505,0.00041811,0.00041811,0.00041811
