epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.678,0.87266,0.71935,1.06344,0.83185,0.87646,0.91013,0.74881,0.50043,0.56704,0.80849,0.0668975,0.000166344,0.000166344
2,196.543,0.85864,0.69231,1.06124,0.85871,0.8771,0.90936,0.74388,0.52192,0.56304,0.82208,0.0337272,0.000329409,0.000329409
3,289.025,0.87018,0.70938,1.0722,0.86099,0.85968,0.91675,0.74005,0.52869,0.53627,0.82374,0.000542768,0.000478294,0.000478294
4,380.033,0.85973,0.70066,1.06561,0.83584,0.8744,0.90769,0.73355,0.53154,0.51363,0.82237,0.000452732,0.000452732,0.000452732
